disruption_id,disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change
DIS-000025,labor strike,automotive,1,africa/middle east,large,True,2,9.9,884590.87,alternative supplier,4,7,36,False
DIS-000026,port congestion,electronics,1,asia-pacific,medium,True,1,9.6,55353.4,customer delay,3,3,28,False
DIS-000027,geopolitical,automotive,4,north america,medium,True,1,26.2,679010.51,alternative supplier,2,6,23,True
DIS-000028,labor strike,aerospace,1,north america,medium,False,2,21.0,2219496.95,inventory buffer,4,30,85,True
DIS-000029,labor strike,electronics,1,north america,small,False,1,14.8,144280.2,customer delay,1,4,17,False
DIS-000030,natural disaster,automotive,1,north america,large,True,4,60.6,3164737.45,alternative supplier,1,57,135,True
DIS-000031,port congestion,pharmaceuticals,2,asia-pacific,small,False,2,10.0,365327.3,inventory buffer,25,44,139,False
DIS-000032,geopolitical,electronics,2,asia-pacific,small,False,4,60.2,262317.35,combined strategy,8,38,149,False
DIS-000033,natural disaster,consumer goods,3,asia-pacific,large,False,3,33.7,1374852.2,combined strategy,3,15,116,True
DIS-000034,cyber attack,consumer goods,2,north america,large,False,5,68.7,3934439.3,combined strategy,1,31,203,True
DIS-000035,cyber attack,aerospace,2,asia-pacific,large,True,1,20.0,16652108.5,customer delay,3,18,37,True
DIS-000036,port congestion,automotive,3,europe,medium,False,2,19.1,334511.27,production reroute,2,5,33,False
DIS-000037,geopolitical,automotive,2,africa/middle east,large,True,4,67.4,4941420.8,alternative supplier,10,79,199,False
DIS-000038,natural disaster,aerospace,2,asia-pacific,large,True,2,17.1,7316992.15,inventory buffer,1,27,71,False
DIS-000039,port congestion,aerospace,4,africa/middle east,medium,True,2,14.7,716241.21,alternative supplier,2,13,37,False
DIS-000040,factory incident,electronics,2,europe,small,False,4,56.3,1419851.59,combined strategy,7,39,102,True
DIS-000041,natural disaster,electronics,2,europe,medium,False,3,46.7,1621816.17,inventory buffer,1,71,177,True
DIS-000042,labor strike,electronics,2,north america,medium,False,2,42.6,538825.36,production reroute,9,39,70,True
DIS-000043,natural disaster,consumer goods,3,north america,small,True,2,21.2,85377.65,alternative supplier,1,9,20,False
DIS-000044,cyber attack,consumer goods,1,asia-pacific,medium,False,4,57.8,667362.36,combined strategy,2,8,74,True
DIS-000045,geopolitical,automotive,3,europe,medium,True,3,58.9,2513221.6,alternative supplier,4,4,11,False
DIS-000046,port congestion,electronics,3,africa/middle east,medium,True,3,35.3,987494.9,alternative supplier,1,24,212,False
DIS-000047,geopolitical,automotive,3,europe,medium,True,3,37.8,1973706.21,alternative supplier,2,12,44,False
DIS-000048,labor strike,automotive,2,south america,large,True,2,27.3,6188944.38,alternative supplier,1,25,73,False
DIS-000049,labor strike,automotive,1,asia-pacific,medium,False,2,19.0,755744.16,inventory buffer,2,6,132,False
DIS-000050,geopolitical,automotive,3,north america,large,True,2,29.6,608358.84,alternative supplier,1,3,15,False
DIS-000051,cyber attack,automotive,4,europe,medium,True,2,33.9,512380.97,alternative supplier,2,24,38,False
DIS-000052,port congestion,electronics,3,asia-pacific,small,False,4,26.3,160613.6,inventory buffer,5,98,113,True
DIS-000053,cyber attack,automotive,4,asia-pacific,large,False,4,14.3,3796527.09,production reroute,4,93,175,False
DIS-000054,cyber attack,consumer goods,1,north america,large,True,2,16.5,959204.44,alternative supplier,1,3,40,False
DIS-000055,labor strike,consumer goods,4,asia-pacific,medium,False,2,20.9,155800.6,combined strategy,4,25,57,False
DIS-000056,cyber attack,consumer goods,3,north america,small,False,4,56.9,115738.85,production reroute,1,177,254,True
DIS-000057,natural disaster,pharmaceuticals,3,south america,medium,True,3,39.7,32244958.42,alternative supplier,1,18,59,False
DIS-000058,geopolitical,pharmaceuticals,2,asia-pacific,small,False,2,39.9,629391.42,alternative supplier,3,13,37,False
DIS-000059,natural disaster,automotive,2,asia-pacific,medium,True,3,25.5,696708.95,alternative supplier,1,5,51,False
DIS-000060,geopolitical,automotive,2,europe,small,True,2,26.5,84823.21,alternative supplier,7,19,45,False
DIS-000061,factory incident,aerospace,2,africa/middle east,small,False,1,9.7,343470.65,alternative supplier,10,9,53,False
DIS-000062,geopolitical,electronics,1,asia-pacific,small,False,3,46.5,429355.77,inventory buffer,1,12,48,False
DIS-000063,port congestion,automotive,1,south america,small,False,1,18.7,159265.35,customer delay,7,15,58,False
DIS-000064,factory incident,automotive,1,asia-pacific,small,False,3,55.1,738733.16,production reroute,9,34,62,True
DIS-000065,geopolitical,consumer goods,3,europe,small,True,3,23.6,62537.18,alternative supplier,1,21,118,False
DIS-000066,labor strike,automotive,2,south america,medium,True,2,33.4,3368433.56,alternative supplier,1,27,61,False
DIS-000067,natural disaster,electronics,1,europe,large,True,1,1.0,125590.25,alternative supplier,1,9,29,False
DIS-000068,port congestion,pharmaceuticals,1,asia-pacific,medium,True,2,44.3,3712804.11,alternative supplier,1,12,122,False
DIS-000069,natural disaster,aerospace,3,asia-pacific,medium,True,2,32.1,5614013.52,alternative supplier,1,10,31,False
DIS-000070,cyber attack,automotive,2,north america,medium,False,3,41.7,2144047.89,alternative supplier,6,34,115,True
DIS-000071,port congestion,electronics,2,north america,medium,False,4,54.7,4603181.72,production reroute,6,53,105,True
DIS-000072,geopolitical,aerospace,3,europe,large,True,5,63.4,7256132.13,alternative supplier,1,36,109,True
DIS-000073,natural disaster,automotive,4,north america,large,False,2,18.9,1653156.43,combined strategy,3,34,117,False
DIS-000074,port congestion,automotive,3,europe,medium,True,2,35.7,3383425.92,alternative supplier,1,18,76,False
DIS-000075,port congestion,automotive,4,north america,medium,True,3,21.4,425005.58,alternative supplier,2,16,100,False
DIS-000076,port congestion,electronics,3,south america,medium,False,3,24.6,412341.65,customer delay,1,36,237,True
DIS-000077,port congestion,electronics,3,asia-pacific,medium,True,2,22.6,689008.28,alternative supplier,1,15,95,False
DIS-000078,natural disaster,consumer goods,1,north america,medium,True,3,26.1,489827.57,alternative supplier,7,8,38,True
DIS-000079,factory incident,pharmaceuticals,1,africa/middle east,small,False,4,84.5,1406813.44,production reroute,1,60,118,False
DIS-000080,natural disaster,pharmaceuticals,1,asia-pacific,medium,True,4,72.5,4906936.74,alternative supplier,4,20,191,False
DIS-000081,cyber attack,electronics,3,africa/middle east,large,True,4,50.0,7654383.8,alternative supplier,1,42,111,True
DIS-000082,port congestion,aerospace,2,europe,large,True,2,25.2,34529443.85,alternative supplier,1,44,84,False
DIS-000083,factory incident,electronics,2,asia-pacific,small,True,3,33.3,841388.04,alternative supplier,3,20,79,True
DIS-000084,natural disaster,automotive,2,asia-pacific,medium,False,2,18.3,547631.75,customer delay,1,90,149,False
DIS-000085,geopolitical,electronics,3,south america,large,True,2,24.0,1324104.58,production reroute,1,90,95,False
DIS-000086,geopolitical,consumer goods,3,europe,medium,False,2,16.9,502712.17,customer delay,7,90,136,False
DIS-000087,port congestion,pharmaceuticals,3,south america,medium,True,1,1.0,57792.39,alternative supplier,1,12,36,True
DIS-000088,port congestion,pharmaceuticals,2,europe,medium,True,3,20.0,589450.15,inventory buffer,10,7,58,True
DIS-000089,cyber attack,aerospace,1,asia-pacific,medium,True,2,18.7,2832059.13,production reroute,1,18,33,False
DIS-000090,labor strike,electronics,3,north america,large,True,2,34.7,4029909.88,alternative supplier,1,28,63,False
DIS-000091,natural disaster,automotive,1,europe,small,False,5,81.5,857218.24,combined strategy,8,28,42,False
DIS-000092,port congestion,aerospace,3,asia-pacific,medium,False,1,17.9,5038469.23,inventory buffer,6,10,21,False
DIS-000093,port congestion,electronics,1,asia-pacific,medium,True,3,36.1,1702985.93,alternative supplier,6,7,52,False
DIS-000094,labor strike,automotive,2,asia-pacific,large,True,3,34.0,2177291.36,alternative supplier,7,11,36,False
DIS-000095,port congestion,electronics,2,europe,small,False,1,21.4,375876.46,inventory buffer,1,8,62,False
DIS-000096,labor strike,pharmaceuticals,3,asia-pacific,large,True,2,20.9,8096173.24,alternative supplier,3,7,36,False
DIS-000097,labor strike,pharmaceuticals,3,asia-pacific,medium,False,3,35.7,3903383.34,combined strategy,1,79,136,False
DIS-000098,factory incident,aerospace,3,north america,small,False,4,43.2,3422601.74,production reroute,11,49,226,True
DIS-000099,natural disaster,electronics,3,africa/middle east,large,True,3,25.3,2011550.96,combined strategy,3,21,34,False
DIS-000100,natural disaster,automotive,3,africa/middle east,medium,True,3,27.6,1049954.88,alternative supplier,1,36,107,True
DIS-000101,natural disaster,aerospace,3,asia-pacific,medium,True,4,50.2,615172.25,combined strategy,1,176,227,True
DIS-000102,port congestion,automotive,1,asia-pacific,medium,True,1,23.6,330986.4,alternative supplier,1,3,16,False
DIS-000103,geopolitical,consumer goods,3,north america,medium,True,2,31.4,645272.4,inventory buffer,2,11,22,False
DIS-000104,labor strike,automotive,1,asia-pacific,small,False,3,40.6,452023.69,production reroute,1,43,130,True
DIS-000105,cyber attack,consumer goods,4,north america,large,True,2,27.5,683192.95,alternative supplier,1,25,36,False
DIS-000106,geopolitical,aerospace,1,asia-pacific,large,True,5,67.9,26517237.48,alternative supplier,1,35,110,True
DIS-000107,factory incident,automotive,3,europe,medium,True,1,4.3,286187.07,alternative supplier,1,24,29,False
DIS-000108,port congestion,automotive,3,africa/middle east,small,False,3,15.1,126405.78,customer delay,10,23,51,False
DIS-000109,geopolitical,aerospace,2,asia-pacific,large,True,4,45.7,12256047.2,production reroute,1,91,114,False
DIS-000110,natural disaster,consumer goods,4,asia-pacific,medium,False,3,32.0,438842.43,production reroute,1,14,90,False
DIS-000111,geopolitical,automotive,1,asia-pacific,medium,True,2,25.4,2068221.18,production reroute,1,18,50,False
DIS-000112,geopolitical,automotive,1,africa/middle east,small,True,5,74.8,2008867.89,alternative supplier,1,46,152,True
DIS-000113,cyber attack,electronics,1,europe,small,False,5,79.6,384368.99,combined strategy,5,82,341,True
DIS-000114,port congestion,consumer goods,1,asia-pacific,large,True,3,58.5,2031294.26,alternative supplier,4,17,104,False
DIS-000115,port congestion,automotive,1,africa/middle east,large,True,2,33.7,9855754.27,production reroute,1,29,49,False
DIS-000116,cyber attack,consumer goods,3,europe,large,True,3,31.3,6960464.4,alternative supplier,5,36,56,False
DIS-000117,port congestion,automotive,3,asia-pacific,medium,True,2,18.1,1045763.47,alternative supplier,2,17,60,False
DIS-000118,geopolitical,electronics,3,europe,small,True,3,27.8,499126.29,alternative supplier,2,44,58,False
DIS-000119,cyber attack,consumer goods,2,asia-pacific,medium,False,5,50.2,896476.62,combined strategy,8,7,320,False
DIS-000120,labor strike,automotive,2,africa/middle east,large,True,3,28.9,1788866.24,alternative supplier,1,37,47,False
DIS-000121,port congestion,automotive,2,south america,small,False,1,18.6,154268.56,production reroute,9,3,14,False
DIS-000122,cyber attack,consumer goods,1,north america,small,False,4,46.0,186459.11,combined strategy,3,50,92,False
DIS-000123,geopolitical,automotive,2,north america,small,True,3,40.0,701152.95,alternative supplier,3,5,82,False
DIS-000124,natural disaster,pharmaceuticals,3,asia-pacific,medium,False,3,43.2,2481003.87,customer delay,9,51,103,False
DIS-000125,geopolitical,pharmaceuticals,1,asia-pacific,small,False,1,30.1,389783.17,alternative supplier,1,12,18,False
DIS-000126,factory incident,electronics,1,europe,small,False,2,33.8,331218.61,production reroute,1,13,58,False
DIS-000127,port congestion,automotive,3,north america,small,False,1,33.3,721979.2,inventory buffer,1,5,19,False
DIS-000128,cyber attack,electronics,3,asia-pacific,small,True,2,37.5,470746.83,alternative supplier,1,5,16,False
DIS-000129,natural disaster,pharmaceuticals,2,north america,small,False,3,35.6,339763.05,production reroute,27,24,72,False
DIS-000130,labor strike,consumer goods,3,europe,small,False,1,21.0,114113.25,customer delay,1,61,71,False
DIS-000131,factory incident,consumer goods,4,europe,medium,True,1,1.7,27634.82,alternative supplier,5,3,16,False
DIS-000132,geopolitical,pharmaceuticals,2,africa/middle east,small,True,2,30.7,1436243.24,alternative supplier,2,8,35,False
DIS-000133,natural disaster,automotive,2,north america,medium,True,2,34.7,1150463.5,alternative supplier,2,4,21,False
DIS-000134,factory incident,automotive,4,asia-pacific,medium,False,1,17.0,673464.73,customer delay,21,5,34,False
DIS-000135,cyber attack,consumer goods,2,europe,large,False,4,53.9,3313871.77,combined strategy,4,9,52,True
DIS-000136,geopolitical,pharmaceuticals,1,north america,medium,True,1,21.1,1852234.56,alternative supplier,1,3,16,True
DIS-000137,labor strike,electronics,3,asia-pacific,small,True,3,32.6,390753.1,alternative supplier,2,19,76,False
DIS-000138,port congestion,aerospace,3,asia-pacific,medium,True,1,14.8,2526340.06,alternative supplier,1,10,27,False
DIS-000139,factory incident,consumer goods,1,africa/middle east,large,False,1,19.7,991885.13,customer delay,2,10,40,True
DIS-000140,cyber attack,pharmaceuticals,2,asia-pacific,large,False,3,38.5,6208897.6,production reroute,6,57,108,True
DIS-000141,cyber attack,electronics,4,asia-pacific,large,False,2,38.4,1727432.37,alternative supplier,3,24,68,False
DIS-000142,geopolitical,electronics,3,asia-pacific,small,True,3,16.4,247252.48,alternative supplier,1,26,92,False
DIS-000143,labor strike,aerospace,1,asia-pacific,medium,False,1,14.0,4288701.42,combined strategy,4,10,28,False
DIS-000144,geopolitical,electronics,1,asia-pacific,medium,True,3,33.9,1706687.73,alternative supplier,1,28,46,False
DIS-000145,geopolitical,consumer goods,3,north america,large,True,2,31.5,1292711.9,alternative supplier,3,9,22,False
DIS-000146,natural disaster,aerospace,4,europe,small,False,3,43.2,1088981.25,alternative supplier,1,27,235,False
DIS-000147,port congestion,electronics,3,asia-pacific,medium,True,1,11.4,1114683.78,inventory buffer,1,10,21,False
DIS-000148,labor strike,pharmaceuticals,1,asia-pacific,medium,False,2,19.7,603900.22,production reroute,3,17,74,False
DIS-000149,natural disaster,automotive,3,asia-pacific,medium,False,3,18.0,507682.49,combined strategy,6,56,155,True
DIS-000150,geopolitical,pharmaceuticals,2,europe,small,True,3,51.8,817374.72,alternative supplier,1,33,63,False
DIS-000151,cyber attack,automotive,2,asia-pacific,medium,False,3,35.3,4091400.33,combined strategy,4,47,108,True
DIS-000152,geopolitical,pharmaceuticals,1,asia-pacific,medium,False,2,23.3,2353250.36,inventory buffer,4,3,50,False
DIS-000153,natural disaster,automotive,2,south america,medium,False,3,40.1,699278.01,inventory buffer,1,60,137,False
DIS-000154,labor strike,electronics,2,asia-pacific,medium,True,2,35.2,3279037.44,alternative supplier,3,12,57,False
DIS-000155,cyber attack,electronics,3,north america,medium,True,4,39.9,1597967.71,combined strategy,9,35,99,False
DIS-000156,geopolitical,electronics,3,asia-pacific,medium,False,1,10.8,249525.57,customer delay,1,11,62,False
DIS-000157,port congestion,consumer goods,1,north america,medium,True,3,59.9,735346.91,alternative supplier,1,12,50,False
DIS-000158,port congestion,consumer goods,1,asia-pacific,small,True,1,3.0,13194.53,alternative supplier,1,3,26,False
DIS-000159,geopolitical,consumer goods,1,europe,large,True,1,9.7,510395.92,production reroute,1,3,25,False
DIS-000160,port congestion,pharmaceuticals,1,europe,medium,True,1,14.0,653797.18,alternative supplier,1,5,12,False
DIS-000161,factory incident,aerospace,1,europe,medium,True,2,32.1,2731152.36,alternative supplier,1,22,44,True
DIS-000162,port congestion,pharmaceuticals,2,asia-pacific,small,True,2,32.1,841361.71,alternative supplier,1,21,64,False
DIS-000163,port congestion,electronics,1,asia-pacific,large,True,2,16.7,3742712.73,alternative supplier,1,8,42,False
DIS-000164,labor strike,automotive,1,north america,medium,True,3,34.1,4347215.09,alternative supplier,2,25,78,True
DIS-000165,natural disaster,electronics,3,asia-pacific,medium,False,3,24.3,1643073.8,production reroute,1,21,255,True
DIS-000166,port congestion,automotive,2,europe,small,True,1,20.1,958290.34,customer delay,1,20,42,False
DIS-000167,geopolitical,electronics,3,asia-pacific,medium,False,4,47.3,1103570.62,combined strategy,18,19,41,False
DIS-000168,geopolitical,automotive,4,asia-pacific,small,True,2,9.5,168138.66,alternative supplier,7,15,39,False
DIS-000169,natural disaster,pharmaceuticals,3,asia-pacific,medium,True,4,40.2,3454711.88,combined strategy,1,48,127,False
DIS-000170,labor strike,consumer goods,2,north america,large,True,3,26.3,3624651.0,alternative supplier,7,17,38,False
DIS-000171,port congestion,electronics,3,north america,medium,False,1,7.1,90637.76,inventory buffer,5,10,19,True
DIS-000172,natural disaster,consumer goods,2,south america,large,True,2,30.6,1266362.53,alternative supplier,2,8,58,False
DIS-000173,labor strike,automotive,4,asia-pacific,large,False,2,4.3,1422009.98,customer delay,10,35,85,False
DIS-000174,geopolitical,consumer goods,4,south america,small,False,4,39.4,388510.75,production reroute,6,19,78,False
DIS-000175,port congestion,automotive,3,asia-pacific,medium,False,2,28.0,160425.88,customer delay,8,28,34,False
DIS-000176,geopolitical,electronics,3,south america,large,True,3,39.0,6982961.68,alternative supplier,1,5,93,False
DIS-000177,port congestion,electronics,1,europe,large,True,2,28.8,5875666.0,alternative supplier,1,14,60,False
DIS-000178,factory incident,automotive,3,asia-pacific,large,True,2,41.1,15442353.27,alternative supplier,1,16,22,False
DIS-000179,cyber attack,automotive,3,europe,medium,True,2,2.9,73047.0,alternative supplier,1,3,32,False
DIS-000180,natural disaster,pharmaceuticals,3,europe,small,False,2,14.5,465614.11,inventory buffer,4,37,45,False
DIS-000181,factory incident,automotive,2,europe,medium,True,3,49.8,1257710.68,alternative supplier,1,24,56,False
DIS-000182,natural disaster,aerospace,3,africa/middle east,medium,True,3,10.0,1364560.06,alternative supplier,1,13,44,False
DIS-000183,cyber attack,consumer goods,2,europe,medium,False,4,57.6,1050477.63,combined strategy,1,48,102,False
DIS-000184,cyber attack,electronics,1,europe,medium,True,2,26.6,1353670.84,alternative supplier,4,3,16,False
DIS-000185,geopolitical,pharmaceuticals,1,africa/middle east,medium,False,2,23.5,1250569.08,alternative supplier,18,12,47,False
DIS-000186,port congestion,consumer goods,3,asia-pacific,large,False,1,1.7,72386.53,customer delay,1,8,29,False
DIS-000187,port congestion,pharmaceuticals,3,north america,large,True,1,19.1,7488492.52,alternative supplier,1,22,31,False
DIS-000188,labor strike,pharmaceuticals,1,north america,small,False,3,46.2,261564.91,alternative supplier,7,5,46,True
DIS-000189,labor strike,aerospace,1,europe,small,False,2,9.3,403677.98,production reroute,3,5,41,True
DIS-000190,geopolitical,consumer goods,1,europe,medium,True,4,77.2,658191.42,production reroute,4,23,57,True
DIS-000191,natural disaster,aerospace,2,asia-pacific,small,False,4,43.3,2365454.81,combined strategy,2,26,72,False
DIS-000192,cyber attack,consumer goods,1,north america,medium,True,4,64.8,417432.83,alternative supplier,4,11,60,False
DIS-000193,cyber attack,pharmaceuticals,2,asia-pacific,small,True,4,43.2,356727.72,alternative supplier,1,14,83,False
DIS-000194,port congestion,electronics,2,africa/middle east,large,True,1,7.3,534439.9,alternative supplier,1,12,21,False
DIS-000195,factory incident,electronics,1,africa/middle east,large,True,4,34.3,9525251.57,production reroute,1,10,70,False
DIS-000196,factory incident,consumer goods,3,europe,large,False,4,53.4,3543649.77,production reroute,7,189,213,True
DIS-000197,port congestion,aerospace,1,europe,medium,False,3,44.8,2008149.86,customer delay,22,37,68,True
DIS-000198,cyber attack,automotive,2,africa/middle east,medium,True,2,22.7,326061.69,alternative supplier,1,5,10,False
DIS-000199,cyber attack,consumer goods,3,europe,medium,False,5,56.4,266687.45,combined strategy,1,38,161,True
DIS-000200,port congestion,consumer goods,3,south america,large,False,2,22.8,4173050.46,production reroute,1,39,70,True
DIS-000201,port congestion,automotive,3,asia-pacific,medium,False,1,28.9,681902.03,inventory buffer,2,3,8,False
DIS-000202,natural disaster,pharmaceuticals,3,asia-pacific,large,True,1,3.3,1491864.38,alternative supplier,2,3,8,False
DIS-000203,geopolitical,aerospace,1,europe,small,False,3,33.5,1544213.71,customer delay,30,25,105,True
DIS-000204,cyber attack,consumer goods,2,africa/middle east,small,True,2,36.0,43276.17,alternative supplier,2,22,27,False
DIS-000205,port congestion,automotive,1,asia-pacific,small,True,3,43.0,309707.19,alternative supplier,5,16,81,False
DIS-000206,natural disaster,aerospace,2,north america,medium,False,3,41.1,1801450.78,production reroute,24,3,45,True
DIS-000207,natural disaster,automotive,1,north america,large,True,1,20.0,2979193.17,alternative supplier,1,38,46,False
DIS-000208,port congestion,automotive,2,asia-pacific,small,True,1,30.4,179153.68,production reroute,2,4,32,True
DIS-000209,natural disaster,automotive,1,north america,medium,True,2,37.4,635796.6,alternative supplier,2,10,85,True
DIS-000210,geopolitical,electronics,1,europe,medium,False,3,42.9,1905395.26,inventory buffer,1,25,75,False
DIS-000211,labor strike,consumer goods,2,europe,small,True,2,32.7,101570.93,combined strategy,10,3,20,False
DIS-000212,port congestion,electronics,1,asia-pacific,medium,True,1,14.5,215713.35,alternative supplier,4,3,17,False
DIS-000213,port congestion,electronics,3,asia-pacific,medium,True,1,17.1,415349.55,alternative supplier,1,33,41,False
DIS-000214,geopolitical,automotive,3,asia-pacific,medium,True,2,22.9,534671.65,alternative supplier,1,3,127,False
DIS-000215,port congestion,electronics,4,north america,small,False,2,7.7,327758.36,production reroute,6,21,35,False
DIS-000216,geopolitical,aerospace,2,africa/middle east,medium,True,1,36.8,2904595.46,alternative supplier,1,20,37,False
DIS-000217,geopolitical,pharmaceuticals,4,north america,medium,False,4,29.6,375473.78,combined strategy,7,65,135,False
DIS-000218,port congestion,pharmaceuticals,4,europe,small,True,2,25.5,848402.31,alternative supplier,1,5,94,False
DIS-000219,port congestion,automotive,2,europe,large,False,4,55.6,11810634.99,inventory buffer,3,43,103,True
DIS-000220,port congestion,automotive,1,asia-pacific,medium,True,1,3.3,61502.18,alternative supplier,3,11,22,False
DIS-000221,port congestion,consumer goods,2,europe,medium,False,1,14.1,250519.79,production reroute,1,5,20,False
DIS-000222,labor strike,aerospace,2,europe,small,False,2,14.1,309344.22,customer delay,7,96,101,False
DIS-000223,natural disaster,automotive,1,north america,small,False,3,54.2,1160763.18,inventory buffer,16,9,26,False
DIS-000224,factory incident,electronics,3,africa/middle east,large,True,4,25.8,2282259.94,combined strategy,1,69,167,False
DIS-000225,geopolitical,electronics,1,europe,medium,False,2,25.0,2806509.38,production reroute,2,21,116,False
DIS-000226,geopolitical,consumer goods,1,north america,small,False,3,42.8,89101.92,combined strategy,2,60,102,False
DIS-000227,cyber attack,electronics,2,asia-pacific,medium,False,2,18.7,801117.81,customer delay,3,27,66,False
DIS-000228,factory incident,pharmaceuticals,1,asia-pacific,medium,True,2,38.7,2779405.3,alternative supplier,7,4,27,False
DIS-000229,cyber attack,automotive,3,north america,medium,True,5,67.9,3498979.22,alternative supplier,5,35,168,False
DIS-000230,port congestion,consumer goods,4,asia-pacific,small,False,1,18.4,54319.86,production reroute,1,8,13,False
DIS-000231,port congestion,automotive,1,asia-pacific,large,True,3,55.3,8503405.75,alternative supplier,3,27,121,False
DIS-000232,labor strike,electronics,4,south america,medium,False,4,39.7,1812021.31,combined strategy,5,77,170,True
DIS-000233,labor strike,electronics,3,europe,small,True,3,24.5,467448.58,alternative supplier,1,24,103,False
DIS-000234,labor strike,automotive,2,africa/middle east,medium,True,1,22.1,323554.6,alternative supplier,1,8,23,False
DIS-000235,geopolitical,consumer goods,2,north america,medium,False,3,38.2,380343.54,alternative supplier,10,52,180,True
DIS-000236,port congestion,automotive,2,asia-pacific,large,True,1,17.6,841517.09,alternative supplier,3,3,11,False
DIS-000237,geopolitical,aerospace,2,asia-pacific,medium,True,1,4.9,101912.2,alternative supplier,1,7,25,False
DIS-000238,natural disaster,aerospace,2,africa/middle east,medium,True,2,35.8,2544769.72,alternative supplier,5,13,22,False
DIS-000239,port congestion,consumer goods,3,europe,large,False,2,32.3,1285704.83,production reroute,1,9,104,False
DIS-000240,geopolitical,aerospace,3,europe,small,True,5,42.0,787031.54,production reroute,1,132,171,False
DIS-000241,cyber attack,consumer goods,1,asia-pacific,small,False,4,63.3,572554.38,production reroute,1,12,80,False
DIS-000242,cyber attack,pharmaceuticals,1,europe,medium,True,5,65.2,1156552.77,alternative supplier,2,62,99,True
DIS-000243,cyber attack,consumer goods,1,asia-pacific,medium,True,2,53.4,277103.78,alternative supplier,6,8,51,False
DIS-000244,factory incident,automotive,2,north america,medium,False,1,5.9,641354.49,alternative supplier,5,5,25,False
DIS-000245,natural disaster,pharmaceuticals,2,south america,medium,True,4,52.8,5400203.71,combined strategy,1,8,37,True
DIS-000246,cyber attack,automotive,2,africa/middle east,small,True,3,48.0,346381.8,alternative supplier,3,8,31,True
DIS-000247,factory incident,consumer goods,1,asia-pacific,medium,True,4,64.1,489455.98,combined strategy,2,28,45,False
DIS-000248,cyber attack,consumer goods,2,asia-pacific,small,True,3,23.3,41362.38,alternative supplier,4,26,58,True
DIS-000249,cyber attack,automotive,3,asia-pacific,small,True,4,28.9,3417036.13,alternative supplier,9,14,40,False
DIS-000250,cyber attack,pharmaceuticals,1,asia-pacific,small,True,4,34.9,1177470.0,alternative supplier,1,14,71,False
