disruption_id,disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,risk_score,severity_label
DIS-000030,Natural Disaster,Automotive,1,North America,Large,True,4,60.6,3164737.45,Alternative Supplier,1,57,135,True,4,Critical
DIS-000031,Port Congestion,Pharmaceuticals,2,Asia-Pacific,Small,False,2,10.0,365327.3,Inventory Buffer,25,44,139,False,2,Medium
DIS-000032,Geopolitical,Electronics,2,Asia-Pacific,Small,False,4,60.2,262317.35,Combined Strategy,8,38,149,False,4,Critical
DIS-000033,Natural Disaster,Consumer Goods,3,Asia-Pacific,Large,False,3,33.7,1374852.2,Combined Strategy,3,15,116,True,3,High
DIS-000034,Cyber Attack,Consumer Goods,2,North America,Large,False,5,68.7,3934439.3,Combined Strategy,1,31,203,True,5,
DIS-000035,Cyber Attack,Aerospace,2,Asia-Pacific,Large,True,1,20.0,16652108.5,Customer Delay,3,18,37,True,1,Low
DIS-000036,Port Congestion,Automotive,3,Europe,Medium,False,2,19.1,334511.27,Production Reroute,2,5,33,False,2,Medium
DIS-000037,Geopolitical,Automotive,2,Africa/Middle East,Large,True,4,67.4,4941420.8,Alternative Supplier,10,79,199,False,4,Critical
DIS-000038,Natural Disaster,Aerospace,2,Asia-Pacific,Large,True,2,17.1,7316992.15,Inventory Buffer,1,27,71,False,2,Medium
DIS-000039,Port Congestion,Aerospace,4,Africa/Middle East,Medium,True,2,14.7,716241.21,Alternative Supplier,2,13,37,False,2,Medium
DIS-000040,Factory Incident,Electronics,2,Europe,Small,False,4,56.3,1419851.59,Combined Strategy,7,39,102,True,4,Critical
DIS-000041,Natural Disaster,Electronics,2,Europe,Medium,False,3,46.7,1621816.17,Inventory Buffer,1,71,177,True,3,High
DIS-000042,Labor Strike,Electronics,2,North America,Medium,False,2,42.6,538825.36,Production Reroute,9,39,70,True,2,Medium
DIS-000043,Natural Disaster,Consumer Goods,3,North America,Small,True,2,21.2,85377.65,Alternative Supplier,1,9,20,False,2,Medium
DIS-000044,Cyber Attack,Consumer Goods,1,Asia-Pacific,Medium,False,4,57.8,667362.36,Combined Strategy,2,8,74,True,4,Critical
DIS-000045,Geopolitical,Automotive,3,Europe,Medium,True,3,58.9,2513221.6,Alternative Supplier,4,4,11,False,3,High
DIS-000046,Port Congestion,Electronics,3,Africa/Middle East,Medium,True,3,35.3,987494.9,Alternative Supplier,1,24,212,False,3,High
DIS-000047,Geopolitical,Automotive,3,Europe,Medium,True,3,37.8,1973706.21,Alternative Supplier,2,12,44,False,3,High
DIS-000048,Labor Strike,Automotive,2,South America,Large,True,2,27.3,6188944.38,Alternative Supplier,1,25,73,False,2,Medium
DIS-000049,Labor Strike,Automotive,1,Asia-Pacific,Medium,False,2,19.0,755744.16,Inventory Buffer,2,6,132,False,2,Medium
DIS-000050,Geopolitical,Automotive,3,North America,Large,True,2,29.6,608358.84,Alternative Supplier,1,3,15,False,2,Medium
DIS-000051,Cyber Attack,Automotive,4,Europe,Medium,True,2,33.9,512380.97,Alternative Supplier,2,24,38,False,2,Medium
DIS-000052,Port Congestion,Electronics,3,Asia-Pacific,Small,False,4,26.3,160613.6,Inventory Buffer,5,98,113,True,4,Critical
DIS-000053,Cyber Attack,Automotive,4,Asia-Pacific,Large,False,4,14.3,3796527.09,Production Reroute,4,93,175,False,4,Critical
DIS-000054,Cyber Attack,Consumer Goods,1,North America,Large,True,2,16.5,959204.44,Alternative Supplier,1,3,40,False,2,Medium
DIS-000055,Labor Strike,Consumer Goods,4,Asia-Pacific,Medium,False,2,20.9,155800.6,Combined Strategy,4,25,57,False,2,Medium
DIS-000056,Cyber Attack,Consumer Goods,3,North America,Small,False,4,56.9,115738.85,Production Reroute,1,177,254,True,4,Critical
DIS-000057,Natural Disaster,Pharmaceuticals,3,South America,Medium,True,3,39.7,32244958.42,Alternative Supplier,1,18,59,False,3,High
DIS-000058,Geopolitical,Pharmaceuticals,2,Asia-Pacific,Small,False,2,39.9,629391.42,Alternative Supplier,3,13,37,False,2,Medium
DIS-000059,Natural Disaster,Automotive,2,Asia-Pacific,Medium,True,3,25.5,696708.95,Alternative Supplier,1,5,51,False,3,High
DIS-000060,Geopolitical,Automotive,2,Europe,Small,True,2,26.5,84823.21,Alternative Supplier,7,19,45,False,2,Medium
DIS-000061,Factory Incident,Aerospace,2,Africa/Middle East,Small,False,1,9.7,343470.65,Alternative Supplier,10,9,53,False,1,Low
DIS-000062,Geopolitical,Electronics,1,Asia-Pacific,Small,False,3,46.5,429355.77,Inventory Buffer,1,12,48,False,3,High
DIS-000063,Port Congestion,Automotive,1,South America,Small,False,1,18.7,159265.35,Customer Delay,7,15,58,False,1,Low
DIS-000064,Factory Incident,Automotive,1,Asia-Pacific,Small,False,3,55.1,738733.16,Production Reroute,9,34,62,True,3,High
DIS-000065,Geopolitical,Consumer Goods,3,Europe,Small,True,3,23.6,62537.18,Alternative Supplier,1,21,118,False,3,High
DIS-000066,Labor Strike,Automotive,2,South America,Medium,True,2,33.4,3368433.56,Alternative Supplier,1,27,61,False,2,Medium
DIS-000067,Natural Disaster,Electronics,1,Europe,Large,True,1,1.0,125590.25,Alternative Supplier,1,9,29,False,1,Low
DIS-000068,Port Congestion,Pharmaceuticals,1,Asia-Pacific,Medium,True,2,44.3,3712804.11,Alternative Supplier,1,12,122,False,2,Medium
DIS-000069,Natural Disaster,Aerospace,3,Asia-Pacific,Medium,True,2,32.1,5614013.52,Alternative Supplier,1,10,31,False,2,Medium
DIS-000070,Cyber Attack,Automotive,2,North America,Medium,False,3,41.7,2144047.89,Alternative Supplier,6,34,115,True,3,High
DIS-000071,Port Congestion,Electronics,2,North America,Medium,False,4,54.7,4603181.72,Production Reroute,6,53,105,True,4,Critical
DIS-000072,Geopolitical,Aerospace,3,Europe,Large,True,5,63.4,7256132.13,Alternative Supplier,1,36,109,True,5,
DIS-000073,Natural Disaster,Automotive,4,North America,Large,False,2,18.9,1653156.43,Combined Strategy,3,34,117,False,2,Medium
DIS-000074,Port Congestion,Automotive,3,Europe,Medium,True,2,35.7,3383425.92,Alternative Supplier,1,18,76,False,2,Medium
DIS-000075,Port Congestion,Automotive,4,North America,Medium,True,3,21.4,425005.58,Alternative Supplier,2,16,100,False,3,High
DIS-000076,Port Congestion,Electronics,3,South America,Medium,False,3,24.6,412341.65,Customer Delay,1,36,237,True,3,High
DIS-000077,Port Congestion,Electronics,3,Asia-Pacific,Medium,True,2,22.6,689008.28,Alternative Supplier,1,15,95,False,2,Medium
DIS-000078,Natural Disaster,Consumer Goods,1,North America,Medium,True,3,26.1,489827.57,Alternative Supplier,7,8,38,True,3,High
DIS-000079,Factory Incident,Pharmaceuticals,1,Africa/Middle East,Small,False,4,84.5,1406813.44,Production Reroute,1,60,118,False,4,Critical
DIS-000080,Natural Disaster,Pharmaceuticals,1,Asia-Pacific,Medium,True,4,72.5,4906936.74,Alternative Supplier,4,20,191,False,4,Critical
DIS-000081,Cyber Attack,Electronics,3,Africa/Middle East,Large,True,4,50.0,7654383.8,Alternative Supplier,1,42,111,True,4,Critical
DIS-000082,Port Congestion,Aerospace,2,Europe,Large,True,2,25.2,34529443.85,Alternative Supplier,1,44,84,False,2,Medium
DIS-000083,Factory Incident,Electronics,2,Asia-Pacific,Small,True,3,33.3,841388.04,Alternative Supplier,3,20,79,True,3,High
DIS-000084,Natural Disaster,Automotive,2,Asia-Pacific,Medium,False,2,18.3,547631.75,Customer Delay,1,90,149,False,2,Medium
DIS-000085,Geopolitical,Electronics,3,South America,Large,True,2,24.0,1324104.58,Production Reroute,1,90,95,False,2,Medium
DIS-000086,Geopolitical,Consumer Goods,3,Europe,Medium,False,2,16.9,502712.17,Customer Delay,7,90,136,False,2,Medium
DIS-000087,Port Congestion,Pharmaceuticals,3,South America,Medium,True,1,1.0,57792.39,Alternative Supplier,1,12,36,True,1,Low
DIS-000088,Port Congestion,Pharmaceuticals,2,Europe,Medium,True,3,20.0,589450.15,Inventory Buffer,10,7,58,True,3,High
DIS-000089,Cyber Attack,Aerospace,1,Asia-Pacific,Medium,True,2,18.7,2832059.13,Production Reroute,1,18,33,False,2,Medium
DIS-000090,Labor Strike,Electronics,3,North America,Large,True,2,34.7,4029909.88,Alternative Supplier,1,28,63,False,2,Medium
DIS-000091,Natural Disaster,Automotive,1,Europe,Small,False,5,81.5,857218.24,Combined Strategy,8,28,42,False,5,
DIS-000092,Port Congestion,Aerospace,3,Asia-Pacific,Medium,False,1,17.9,5038469.23,Inventory Buffer,6,10,21,False,1,Low
DIS-000093,Port Congestion,Electronics,1,Asia-Pacific,Medium,True,3,36.1,1702985.93,Alternative Supplier,6,7,52,False,3,High
DIS-000094,Labor Strike,Automotive,2,Asia-Pacific,Large,True,3,34.0,2177291.36,Alternative Supplier,7,11,36,False,3,High
DIS-000095,Port Congestion,Electronics,2,Europe,Small,False,1,21.4,375876.46,Inventory Buffer,1,8,62,False,1,Low
DIS-000096,Labor Strike,Pharmaceuticals,3,Asia-Pacific,Large,True,2,20.9,8096173.24,Alternative Supplier,3,7,36,False,2,Medium
DIS-000097,Labor Strike,Pharmaceuticals,3,Asia-Pacific,Medium,False,3,35.7,3903383.34,Combined Strategy,1,79,136,False,3,High
DIS-000098,Factory Incident,Aerospace,3,North America,Small,False,4,43.2,3422601.74,Production Reroute,11,49,226,True,4,Critical
DIS-000099,Natural Disaster,Electronics,3,Africa/Middle East,Large,True,3,25.3,2011550.96,Combined Strategy,3,21,34,False,3,High
DIS-000100,Natural Disaster,Automotive,3,Africa/Middle East,Medium,True,3,27.6,1049954.88,Alternative Supplier,1,36,107,True,3,High
DIS-000101,Natural Disaster,Aerospace,3,Asia-Pacific,Medium,True,4,50.2,615172.25,Combined Strategy,1,176,227,True,4,Critical
DIS-000102,Port Congestion,Automotive,1,Asia-Pacific,Medium,True,1,23.6,330986.4,Alternative Supplier,1,3,16,False,1,Low
DIS-000103,Geopolitical,Consumer Goods,3,North America,Medium,True,2,31.4,645272.4,Inventory Buffer,2,11,22,False,2,Medium
DIS-000104,Labor Strike,Automotive,1,Asia-Pacific,Small,False,3,40.6,452023.69,Production Reroute,1,43,130,True,3,High
DIS-000105,Cyber Attack,Consumer Goods,4,North America,Large,True,2,27.5,683192.95,Alternative Supplier,1,25,36,False,2,Medium
DIS-000106,Geopolitical,Aerospace,1,Asia-Pacific,Large,True,5,67.9,26517237.48,Alternative Supplier,1,35,110,True,5,
DIS-000107,Factory Incident,Automotive,3,Europe,Medium,True,1,4.3,286187.07,Alternative Supplier,1,24,29,False,1,Low
DIS-000108,Port Congestion,Automotive,3,Africa/Middle East,Small,False,3,15.1,126405.78,Customer Delay,10,23,51,False,3,High
DIS-000109,Geopolitical,Aerospace,2,Asia-Pacific,Large,True,4,45.7,12256047.2,Production Reroute,1,91,114,False,4,Critical
DIS-000110,Natural Disaster,Consumer Goods,4,Asia-Pacific,Medium,False,3,32.0,438842.43,Production Reroute,1,14,90,False,3,High
DIS-000111,Geopolitical,Automotive,1,Asia-Pacific,Medium,True,2,25.4,2068221.18,Production Reroute,1,18,50,False,2,Medium
DIS-000112,Geopolitical,Automotive,1,Africa/Middle East,Small,True,5,74.8,2008867.89,Alternative Supplier,1,46,152,True,5,
DIS-000113,Cyber Attack,Electronics,1,Europe,Small,False,5,79.6,384368.99,Combined Strategy,5,82,341,True,5,
DIS-000114,Port Congestion,Consumer Goods,1,Asia-Pacific,Large,True,3,58.5,2031294.26,Alternative Supplier,4,17,104,False,3,High
DIS-000115,Port Congestion,Automotive,1,Africa/Middle East,Large,True,2,33.7,9855754.27,Production Reroute,1,29,49,False,2,Medium
DIS-000116,Cyber Attack,Consumer Goods,3,Europe,Large,True,3,31.3,6960464.4,Alternative Supplier,5,36,56,False,3,High
DIS-000117,Port Congestion,Automotive,3,Asia-Pacific,Medium,True,2,18.1,1045763.47,Alternative Supplier,2,17,60,False,2,Medium
DIS-000118,Geopolitical,Electronics,3,Europe,Small,True,3,27.8,499126.29,Alternative Supplier,2,44,58,False,3,High
DIS-000119,Cyber Attack,Consumer Goods,2,Asia-Pacific,Medium,False,5,50.2,896476.62,Combined Strategy,8,7,320,False,5,
DIS-000120,Labor Strike,Automotive,2,Africa/Middle East,Large,True,3,28.9,1788866.24,Alternative Supplier,1,37,47,False,3,High
DIS-000121,Port Congestion,Automotive,2,South America,Small,False,1,18.6,154268.56,Production Reroute,9,3,14,False,1,Low
DIS-000122,Cyber Attack,Consumer Goods,1,North America,Small,False,4,46.0,186459.11,Combined Strategy,3,50,92,False,4,Critical
DIS-000123,Geopolitical,Automotive,2,North America,Small,True,3,40.0,701152.95,Alternative Supplier,3,5,82,False,3,High
DIS-000124,Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Medium,False,3,43.2,2481003.87,Customer Delay,9,51,103,False,3,High
DIS-000125,Geopolitical,Pharmaceuticals,1,Asia-Pacific,Small,False,1,30.1,389783.17,Alternative Supplier,1,12,18,False,1,Low
DIS-000126,Factory Incident,Electronics,1,Europe,Small,False,2,33.8,331218.61,Production Reroute,1,13,58,False,2,Medium
DIS-000127,Port Congestion,Automotive,3,North America,Small,False,1,33.3,721979.2,Inventory Buffer,1,5,19,False,1,Low
DIS-000128,Cyber Attack,Electronics,3,Asia-Pacific,Small,True,2,37.5,470746.83,Alternative Supplier,1,5,16,False,2,Medium
DIS-000129,Natural Disaster,Pharmaceuticals,2,North America,Small,False,3,35.6,339763.05,Production Reroute,27,24,72,False,3,High
DIS-000130,Labor Strike,Consumer Goods,3,Europe,Small,False,1,21.0,114113.25,Customer Delay,1,61,71,False,1,Low
DIS-000131,Factory Incident,Consumer Goods,4,Europe,Medium,True,1,1.7,27634.82,Alternative Supplier,5,3,16,False,1,Low
DIS-000132,Geopolitical,Pharmaceuticals,2,Africa/Middle East,Small,True,2,30.7,1436243.24,Alternative Supplier,2,8,35,False,2,Medium
DIS-000133,Natural Disaster,Automotive,2,North America,Medium,True,2,34.7,1150463.5,Alternative Supplier,2,4,21,False,2,Medium
DIS-000134,Factory Incident,Automotive,4,Asia-Pacific,Medium,False,1,17.0,673464.73,Customer Delay,21,5,34,False,1,Low
DIS-000135,Cyber Attack,Consumer Goods,2,Europe,Large,False,4,53.9,3313871.77,Combined Strategy,4,9,52,True,4,Critical
DIS-000136,Geopolitical,Pharmaceuticals,1,North America,Medium,True,1,21.1,1852234.56,Alternative Supplier,1,3,16,True,1,Low
DIS-000137,Labor Strike,Electronics,3,Asia-Pacific,Small,True,3,32.6,390753.1,Alternative Supplier,2,19,76,False,3,High
DIS-000138,Port Congestion,Aerospace,3,Asia-Pacific,Medium,True,1,14.8,2526340.06,Alternative Supplier,1,10,27,False,1,Low
DIS-000139,Factory Incident,Consumer Goods,1,Africa/Middle East,Large,False,1,19.7,991885.13,Customer Delay,2,10,40,True,1,Low
DIS-000140,Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Large,False,3,38.5,6208897.6,Production Reroute,6,57,108,True,3,High
DIS-000141,Cyber Attack,Electronics,4,Asia-Pacific,Large,False,2,38.4,1727432.37,Alternative Supplier,3,24,68,False,2,Medium
DIS-000142,Geopolitical,Electronics,3,Asia-Pacific,Small,True,3,16.4,247252.48,Alternative Supplier,1,26,92,False,3,High
DIS-000143,Labor Strike,Aerospace,1,Asia-Pacific,Medium,False,1,14.0,4288701.42,Combined Strategy,4,10,28,False,1,Low
DIS-000144,Geopolitical,Electronics,1,Asia-Pacific,Medium,True,3,33.9,1706687.73,Alternative Supplier,1,28,46,False,3,High
DIS-000145,Geopolitical,Consumer Goods,3,North America,Large,True,2,31.5,1292711.9,Alternative Supplier,3,9,22,False,2,Medium
DIS-000146,Natural Disaster,Aerospace,4,Europe,Small,False,3,43.2,1088981.25,Alternative Supplier,1,27,235,False,3,High
DIS-000147,Port Congestion,Electronics,3,Asia-Pacific,Medium,True,1,11.4,1114683.78,Inventory Buffer,1,10,21,False,1,Low
DIS-000148,Labor Strike,Pharmaceuticals,1,Asia-Pacific,Medium,False,2,19.7,603900.22,Production Reroute,3,17,74,False,2,Medium
DIS-000149,Natural Disaster,Automotive,3,Asia-Pacific,Medium,False,3,18.0,507682.49,Combined Strategy,6,56,155,True,3,High
DIS-000150,Geopolitical,Pharmaceuticals,2,Europe,Small,True,3,51.8,817374.72,Alternative Supplier,1,33,63,False,3,High
DIS-000151,Cyber Attack,Automotive,2,Asia-Pacific,Medium,False,3,35.3,4091400.33,Combined Strategy,4,47,108,True,3,High
DIS-000152,Geopolitical,Pharmaceuticals,1,Asia-Pacific,Medium,False,2,23.3,2353250.36,Inventory Buffer,4,3,50,False,2,Medium
DIS-000153,Natural Disaster,Automotive,2,South America,Medium,False,3,40.1,699278.01,Inventory Buffer,1,60,137,False,3,High
DIS-000154,Labor Strike,Electronics,2,Asia-Pacific,Medium,True,2,35.2,3279037.44,Alternative Supplier,3,12,57,False,2,Medium
DIS-000155,Cyber Attack,Electronics,3,North America,Medium,True,4,39.9,1597967.71,Combined Strategy,9,35,99,False,4,Critical
DIS-000156,Geopolitical,Electronics,3,Asia-Pacific,Medium,False,1,10.8,249525.57,Customer Delay,1,11,62,False,1,Low
DIS-000157,Port Congestion,Consumer Goods,1,North America,Medium,True,3,59.9,735346.91,Alternative Supplier,1,12,50,False,3,High
DIS-000158,Port Congestion,Consumer Goods,1,Asia-Pacific,Small,True,1,3.0,13194.53,Alternative Supplier,1,3,26,False,1,Low
DIS-000159,Geopolitical,Consumer Goods,1,Europe,Large,True,1,9.7,510395.92,Production Reroute,1,3,25,False,1,Low
DIS-000160,Port Congestion,Pharmaceuticals,1,Europe,Medium,True,1,14.0,653797.18,Alternative Supplier,1,5,12,False,1,Low
DIS-000161,Factory Incident,Aerospace,1,Europe,Medium,True,2,32.1,2731152.36,Alternative Supplier,1,22,44,True,2,Medium
DIS-000162,Port Congestion,Pharmaceuticals,2,Asia-Pacific,Small,True,2,32.1,841361.71,Alternative Supplier,1,21,64,False,2,Medium
DIS-000163,Port Congestion,Electronics,1,Asia-Pacific,Large,True,2,16.7,3742712.73,Alternative Supplier,1,8,42,False,2,Medium
DIS-000164,Labor Strike,Automotive,1,North America,Medium,True,3,34.1,4347215.09,Alternative Supplier,2,25,78,True,3,High
DIS-000165,Natural Disaster,Electronics,3,Asia-Pacific,Medium,False,3,24.3,1643073.8,Production Reroute,1,21,255,True,3,High
DIS-000166,Port Congestion,Automotive,2,Europe,Small,True,1,20.1,958290.34,Customer Delay,1,20,42,False,1,Low
DIS-000167,Geopolitical,Electronics,3,Asia-Pacific,Medium,False,4,47.3,1103570.62,Combined Strategy,18,19,41,False,4,Critical
DIS-000168,Geopolitical,Automotive,4,Asia-Pacific,Small,True,2,9.5,168138.66,Alternative Supplier,7,15,39,False,2,Medium
DIS-000169,Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Medium,True,4,40.2,3454711.88,Combined Strategy,1,48,127,False,4,Critical
DIS-000170,Labor Strike,Consumer Goods,2,North America,Large,True,3,26.3,3624651.0,Alternative Supplier,7,17,38,False,3,High
DIS-000171,Port Congestion,Electronics,3,North America,Medium,False,1,7.1,90637.76,Inventory Buffer,5,10,19,True,1,Low
DIS-000172,Natural Disaster,Consumer Goods,2,South America,Large,True,2,30.6,1266362.53,Alternative Supplier,2,8,58,False,2,Medium
DIS-000173,Labor Strike,Automotive,4,Asia-Pacific,Large,False,2,4.3,1422009.98,Customer Delay,10,35,85,False,2,Medium
DIS-000174,Geopolitical,Consumer Goods,4,South America,Small,False,4,39.4,388510.75,Production Reroute,6,19,78,False,4,Critical
DIS-000175,Port Congestion,Automotive,3,Asia-Pacific,Medium,False,2,28.0,160425.88,Customer Delay,8,28,34,False,2,Medium
DIS-000176,Geopolitical,Electronics,3,South America,Large,True,3,39.0,6982961.68,Alternative Supplier,1,5,93,False,3,High
DIS-000177,Port Congestion,Electronics,1,Europe,Large,True,2,28.8,5875666.0,Alternative Supplier,1,14,60,False,2,Medium
DIS-000178,Factory Incident,Automotive,3,Asia-Pacific,Large,True,2,41.1,15442353.27,Alternative Supplier,1,16,22,False,2,Medium
DIS-000179,Cyber Attack,Automotive,3,Europe,Medium,True,2,2.9,73047.0,Alternative Supplier,1,3,32,False,2,Medium
DIS-000180,Natural Disaster,Pharmaceuticals,3,Europe,Small,False,2,14.5,465614.11,Inventory Buffer,4,37,45,False,2,Medium
DIS-000181,Factory Incident,Automotive,2,Europe,Medium,True,3,49.8,1257710.68,Alternative Supplier,1,24,56,False,3,High
DIS-000182,Natural Disaster,Aerospace,3,Africa/Middle East,Medium,True,3,10.0,1364560.06,Alternative Supplier,1,13,44,False,3,High
DIS-000183,Cyber Attack,Consumer Goods,2,Europe,Medium,False,4,57.6,1050477.63,Combined Strategy,1,48,102,False,4,Critical
DIS-000184,Cyber Attack,Electronics,1,Europe,Medium,True,2,26.6,1353670.84,Alternative Supplier,4,3,16,False,2,Medium
DIS-000185,Geopolitical,Pharmaceuticals,1,Africa/Middle East,Medium,False,2,23.5,1250569.08,Alternative Supplier,18,12,47,False,2,Medium
DIS-000186,Port Congestion,Consumer Goods,3,Asia-Pacific,Large,False,1,1.7,72386.53,Customer Delay,1,8,29,False,1,Low
DIS-000187,Port Congestion,Pharmaceuticals,3,North America,Large,True,1,19.1,7488492.52,Alternative Supplier,1,22,31,False,1,Low
DIS-000188,Labor Strike,Pharmaceuticals,1,North America,Small,False,3,46.2,261564.91,Alternative Supplier,7,5,46,True,3,High
DIS-000189,Labor Strike,Aerospace,1,Europe,Small,False,2,9.3,403677.98,Production Reroute,3,5,41,True,2,Medium
DIS-000190,Geopolitical,Consumer Goods,1,Europe,Medium,True,4,77.2,658191.42,Production Reroute,4,23,57,True,4,Critical
DIS-000191,Natural Disaster,Aerospace,2,Asia-Pacific,Small,False,4,43.3,2365454.81,Combined Strategy,2,26,72,False,4,Critical
DIS-000192,Cyber Attack,Consumer Goods,1,North America,Medium,True,4,64.8,417432.83,Alternative Supplier,4,11,60,False,4,Critical
DIS-000193,Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Small,True,4,43.2,356727.72,Alternative Supplier,1,14,83,False,4,Critical
DIS-000194,Port Congestion,Electronics,2,Africa/Middle East,Large,True,1,7.3,534439.9,Alternative Supplier,1,12,21,False,1,Low
DIS-000195,Factory Incident,Electronics,1,Africa/Middle East,Large,True,4,34.3,9525251.57,Production Reroute,1,10,70,False,4,Critical
DIS-000196,Factory Incident,Consumer Goods,3,Europe,Large,False,4,53.4,3543649.77,Production Reroute,7,189,213,True,4,Critical
DIS-000197,Port Congestion,Aerospace,1,Europe,Medium,False,3,44.8,2008149.86,Customer Delay,22,37,68,True,3,High
DIS-000198,Cyber Attack,Automotive,2,Africa/Middle East,Medium,True,2,22.7,326061.69,Alternative Supplier,1,5,10,False,2,Medium
DIS-000199,Cyber Attack,Consumer Goods,3,Europe,Medium,False,5,56.4,266687.45,Combined Strategy,1,38,161,True,5,
DIS-000200,Port Congestion,Consumer Goods,3,South America,Large,False,2,22.8,4173050.46,Production Reroute,1,39,70,True,2,Medium
DIS-000201,Port Congestion,Automotive,3,Asia-Pacific,Medium,False,1,28.9,681902.03,Inventory Buffer,2,3,8,False,1,Low
DIS-000202,Natural Disaster,Pharmaceuticals,3,Asia-Pacific,Large,True,1,3.3,1491864.38,Alternative Supplier,2,3,8,False,1,Low
DIS-000203,Geopolitical,Aerospace,1,Europe,Small,False,3,33.5,1544213.71,Customer Delay,30,25,105,True,3,High
DIS-000204,Cyber Attack,Consumer Goods,2,Africa/Middle East,Small,True,2,36.0,43276.17,Alternative Supplier,2,22,27,False,2,Medium
